Samtala,,Sérheiti,Hlutverk,Tegund,X (A),Y (N),nakvaemni,Uppdrættir,Ljósmyndir,Skrásetjari á vettvangi,Dags,Skrásetjari á gagnagrunn,Dagsetning innsláttar,Sveitarfélagsnúmer
ÁR-005:026,,,túngarður,garðlag,415969,378510,2,,ÁR_005_026_NV; ÁR_005_026_N,RGG,19/05/11,ÁE,,
ÁR-005:027,,Ferjulautarlátur,lögn,heimild,416351,378549,2,,ÁR_005_009-027,RGG,23/05/11,ÁE,,
ÁR-005:028,,Flúðalátur,lögn,heimild,416376,378439,2,,ÁR_005_028_SA,RGG,23/05/11,ÁE,,
ÁR-005:029,,Fremstalátur,lögn,heimild,416247,378084,2,,,RGG,23/05/11,ÁE,,
ÁR-005:030,,,beitarhús,tóftaþyrping,416381,379162,2,ÁR005-030,ÁR_005_030 a-d,RGG,18/05/11,ÁE,,
ÁR-005:031,,,landamerki,heimild,414947,377420,2,,,RGG,23/05/11,ÁE,,
ÁR-005:033,,,kálgarður,heimild,415920,378305,2,,ÁR_005_033_NV; ÁR_005_033_SSV,RGG,17/05/11,ÁE,,
ÁR-005:034,,,útihús,tóft,415916,378292,2,ÁR005-034,ÁR_005_034_ASA,RGG,17/05/11,ÁE,,
ÁR-005:035,,,kálgarður,heimild,415921,378284,2,,,RGG,17/05/11,,,
ÁR-005:036,,,traðir,heimild,407729,378506,2,,,RGG,17/05/11,ÁE,,
ÁR-005:037,,,landamerki,garðlag,415262,378713,2,,ÁR_005_037_S;,RGG,20/05/11,,,
ÁR-005:038,,,beitarhús,tóft,416308,379331,2,ÁR005_038,ÁR005_038_A; ÁR005_038_SA,RGG,19/05/11,,,
ÁR-005:039,,Þrísteinar,,huldufólksbústaður,416066,378639,2,,ÁR_005_039_ASA; ÁR_005_039_NV,RGG,19/05/11,,,
ÁR-005:040,,,túngarður,garðlag,415939,378077,2,,ÁR_005_040_VSV; ÁR_005_040_SV,RGG,19/05/11,,,
ÁR-005:041,,,mógrafir,náma,414405,378660,2,,ÁR_005_041_SV,RGG,20/05/11,,,
ÁR-005:042,,,landamerki,garðlag,414333,378303,2,,ÁR_005_042_NV,RGG,20/05/11,,,
ÁR-005:043,,,vörslugarður,garðlag,414361,378414,2,,ÁR_005_043_VNV; ÁR_005_043_SSA,RGG,20/05/11,,,
ÁR-005:044,,,leið,heimild,415173,379483,2,,,RGG,20/05/11,,,
ÁR-005:045,,Stekkatúnseyri,stekkur,frásögn,416886,379606,2,,,RGG,20/05/11,,,
ÁR-005:046,,,útihús,heimild,416052,378245,2,,,RGG,20/05/11,,,
ÁR-005:047,,,útihús,heimild,415942,378328,2,,,RGG,20/05/11,,,
ÁR-005:048,,,útihús,heimild,415929,378237,2,,,RGG,20/05/11,,,
ÁR-006:001,,Egilsstaðakot,bústaður,bæjarhóll,415877,378436,2,,,RGG,19/05/11,SG,14/05/06,
ÁR-006:002,,Harðhaus,huldufólksbústaður,huldufólksbústaður,415934,378520,2,,ÁR-006_002_V,RGG,19/05/11,ÁE,,
ÁR-006:003,,Prettur,brunnur,heimild,415888,378460,2,,,RGG,19/05/11,ÁE,,
ÁR-006:004,,Gíslatóft,beitarhús,heimild,415372,379728,2,,,RGG,18/05/11,ÁE,,
ÁR-006:005,,Búrhóll,huldufólksbústaður,heimild,415873,378460,2,,,RGG,19/05/11,ÁE,,
ÁR-006:006,,,kálgarður,heimild,415889,378428,2,,,RGG,19/05/11,ÁE,,
ÁR-006:007,,,traðir,heimild,415893,378506,2,,,RGG,19/05/11,ÁE,,
ÁR-006:008,,,rétt,tóft,415973,378547,2,ÁR006-008,ÁR-006_008_N,RGG,19/05/11,,,
ÁR-006:008x,,ATHUGA,HESTARÉTT,gerði,415972,378530,2,,,RGG,19/05/11,,,
ÁR-006:009,,,brunnur,brunnur,415896,378417,2,,ÁR_006_009,RGG,19/05/11,,,
ÁR-006:010,,,beitarhús,tóft,416067,381031,2,ÁR006_010,ÁR_006_010_N,RGG,18/05/11,,,
ÁR-006:011,,,útihús,frásögn,415666,378458,2,,ÁR_006_011_ASA,RGG,19/05/11,,,
ÁR-006:012,,,,álagablettur,415910,378446,2,,ÁR-006_012_V,RGG,19/05/11,,,
ÁR-006:013,,,útihús,heimild,415688,378506,2,,,RGG,20/05/11,,,
ÁR-007:001,,Mjósund  (Mjósendi),bústaður,bæjarhóll,415540,374058,2,ÁR007-001,ÁR-007_001_NV; ÁR-007_001_S,RGG,23/05/11,SG,14/05/06,
ÁR-007:002,,Kirkjuhóll,bænhús,þúst,415580,373994,2,ÁR007-002,ÁR-007_002_N,RGG,23/05/11,ÁE,,
